,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
0,1,1,1,38.0,2,0,27.14,0,0,1
1,0,3,1,38.0,0,0,13.35,0,0,1
2,0,3,1,0.33,1,2,71.29,0,0,1
3,0,3,1,19.0,0,0,13.04,0,0,1
4,1,3,1,25.0,0,0,7.76,0,0,1
5,0,2,1,35.0,0,0,6.71,0,0,1
6,0,3,1,7.0,0,0,9.77,0,0,1
7,1,3,0,6.0,1,2,31.5,0,0,1
8,0,1,1,27.0,2,1,73.02,0,0,1
9,0,2,1,66.0,0,0,9.14,1,0,0
10,0,3,1,31.0,0,0,8.06,0,0,1
11,0,1,1,60.0,0,0,31.5,0,0,1
12,0,3,1,36.0,0,0,9.34,0,0,1
13,1,2,1,50.0,0,0,7.88,0,1,0
14,1,1,0,44.0,0,1,28.4,1,0,0
15,1,3,0,57.0,0,0,9.31,0,0,1
16,0,3,1,53.0,0,0,7.92,0,0,1
17,0,1,1,43.0,0,0,29.84,0,0,1
18,0,2,1,25.0,0,0,8.85,0,0,1
19,1,1,0,61.0,0,4,205.01,0,1,0
20,0,3,0,17.0,0,0,8.28,0,0,1
21,0,1,1,39.0,1,0,30.72,0,0,1
22,0,1,1,59.0,2,0,28.56,0,0,1
23,1,3,0,23.0,0,0,7.95,0,1,0
24,0,3,1,21.0,0,0,10.38,0,0,1
25,0,1,0,53.0,1,1,82.57,0,1,0
26,0,3,0,26.0,0,0,10.24,0,0,1
27,1,1,0,35.0,0,2,154.61,1,0,0
28,1,2,1,23.0,0,0,8.62,0,0,1
29,0,3,1,36.0,0,0,8.6,0,0,1
30,1,3,1,5.0,1,1,31.35,0,0,1
31,1,3,1,7.0,1,0,28.75,0,0,1
32,1,2,0,31.0,0,1,19.83,1,0,0
33,1,1,0,67.0,1,0,97.2,0,1,0
34,1,2,0,38.0,0,0,33.66,1,0,0
35,0,3,1,38.0,0,0,5.77,1,0,0
36,1,1,0,38.0,0,0,60.02,0,1,0
37,1,1,1,54.0,0,0,228.82,0,0,1
38,0,2,0,53.0,0,0,13.33,0,0,1
39,1,2,0,61.0,0,0,43.92,0,0,1
40,1,1,0,69.0,1,0,116.65,0,1,0
41,1,3,1,22.0,0,0,6.03,0,0,1
42,1,2,0,7.0,0,1,28.53,0,0,1
43,0,2,1,23.0,1,0,35.18,0,0,1
44,0,3,1,38.0,1,0,27.49,0,0,1
45,0,3,0,68.0,0,1,31.01,1,0,0
46,0,3,1,71.0,0,0,25.6,1,0,0
47,0,1,1,43.0,0,0,61.21,0,0,1
48,1,2,1,66.0,0,0,26.48,0,0,1
49,0,3,1,22.0,0,3,9.29,0,1,0
50,1,1,1,63.0,0,0,80.11,1,0,0
51,0,2,0,47.0,1,5,72.45,1,0,0
52,0,1,1,45.0,1,0,67.23,0,0,1
53,1,1,0,34.0,1,0,88.88,1,0,0
54,0,1,1,31.0,3,0,24.33,0,0,1
55,0,3,1,3.0,1,2,80.84,0,0,1
56,1,1,1,27.0,0,0,93.36,1,0,0
57,1,1,0,28.0,0,1,13.31,0,0,1
58,0,3,1,37.0,0,0,10.46,0,0,1
59,0,1,1,64.0,0,0,9.11,0,0,1
