,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0,1,1,male,,2,0,27.14,S
1,1,0,3,male,,0,0,13.35,S
2,2,0,3,male,0.33,1,2,71.29,S
3,3,0,3,male,19.0,0,0,13.04,S
4,4,1,3,male,25.0,0,0,7.76,S
5,5,0,2,male,35.0,0,0,6.71,S
6,6,0,3,male,7.0,0,0,9.77,S
7,7,1,3,female,6.0,1,2,31.5,S
8,8,0,1,male,27.0,2,1,73.02,S
9,9,0,2,male,66.0,0,0,9.14,C
10,10,0,3,male,31.0,0,0,8.06,S
11,11,0,1,male,60.0,0,0,31.5,S
12,12,0,3,male,36.0,0,0,9.34,S
13,13,1,2,male,50.0,0,0,7.88,Q
14,14,1,1,female,44.0,0,1,28.4,C
15,15,1,3,female,57.0,0,0,9.31,S
16,16,0,3,male,53.0,0,0,7.92,S
17,17,0,1,male,43.0,0,0,29.84,S
18,18,0,2,male,25.0,0,0,8.85,S
19,19,1,1,female,61.0,0,4,205.01,Q
20,20,0,3,female,17.0,0,0,8.28,S
21,21,0,1,male,39.0,1,0,30.72,S
22,22,0,1,male,59.0,2,0,28.56,S
23,23,1,3,female,23.0,0,0,7.95,Q
24,24,0,3,male,21.0,0,0,10.38,S
25,25,0,1,female,53.0,1,1,82.57,Q
26,26,0,3,female,26.0,0,0,10.24,S
27,27,1,1,female,35.0,0,2,154.61,C
28,28,1,2,male,23.0,0,0,8.62,S
29,29,0,3,male,36.0,0,0,8.6,S
30,30,1,3,male,5.0,1,1,31.35,S
31,31,1,3,male,7.0,1,0,28.75,S
32,32,1,2,female,31.0,0,1,19.83,C
33,33,1,1,female,67.0,1,0,97.2,Q
34,34,1,2,female,,0,0,33.66,C
35,35,0,3,male,,0,0,5.77,C
36,36,1,1,female,,0,0,60.02,Q
37,37,1,1,male,54.0,0,0,228.82,S
38,38,0,2,female,53.0,0,0,13.33,S
39,39,1,2,female,61.0,0,0,,S
40,40,1,1,female,69.0,1,0,116.65,Q
41,41,1,3,male,22.0,0,0,6.03,S
42,42,1,2,female,7.0,0,1,28.53,S
43,43,0,2,male,23.0,1,0,35.18,S
44,44,0,3,male,,1,0,27.49,S
45,45,0,3,female,68.0,0,1,31.01,C
46,46,0,3,male,71.0,0,0,25.6,C
47,47,0,1,male,43.0,0,0,61.21,S
48,48,1,2,male,66.0,0,0,26.48,S
49,49,0,3,male,22.0,0,3,9.29,Q
50,50,1,1,male,63.0,0,0,80.11,C
51,51,0,2,female,47.0,1,5,72.45,C
52,52,0,1,male,45.0,1,0,67.23,S
53,53,1,1,female,34.0,1,0,88.88,C
54,54,0,1,male,31.0,3,0,24.33,S
55,55,0,3,male,3.0,1,2,80.84,S
56,56,1,1,male,27.0,0,0,93.36,C
57,57,1,1,female,28.0,0,1,13.31,S
58,58,0,3,male,37.0,0,0,10.46,S
59,59,0,1,male,64.0,0,0,9.11,S
60,60,1,3,female,39.0,0,0,11.49,S
61,61,1,2,male,58.0,0,0,24.39,S
62,62,0,2,male,56.0,0,0,71.39,S
63,63,0,1,female,36.0,0,2,473.49,C
64,64,0,3,male,,0,0,10.69,S
65,65,1,2,female,40.0,0,0,24.17,S
66,66,1,1,female,5.0,1,0,69.41,C
67,67,0,1,male,38.0,1,2,27.7,S
68,68,1,1,female,40.0,0,0,92.34,C
69,69,0,3,male,21.0,0,0,9.89,S
70,70,0,1,male,40.0,3,0,28.44,S
71,71,0,2,male,5.0,2,0,29.33,S
72,72,0,2,male,56.0,0,0,6.71,S
73,73,1,1,female,47.0,0,0,31.72,C
74,74,0,3,male,20.0,0,0,7.71,S
75,75,1,3,female,27.0,0,0,13.32,S
76,76,1,2,female,61.0,0,0,7.87,S
77,77,0,3,male,23.0,0,0,5.04,S
78,78,1,2,female,67.0,0,0,11.91,C
79,79,1,3,female,8.0,0,1,24.84,S
80,80,0,2,male,66.0,0,0,7.26,S
81,81,0,3,male,60.0,0,0,12.47,S
82,82,1,1,female,70.0,0,0,104.43,Q
83,83,0,3,female,25.0,0,0,13.86,S
84,84,0,2,female,11.0,0,0,9.12,S
85,85,0,3,male,22.0,0,0,7.11,S
86,86,0,2,male,28.0,0,0,5.09,S
87,87,0,3,male,39.0,0,0,9.78,S
88,88,0,3,male,27.0,0,0,6.04,S
89,89,0,1,male,54.0,1,0,21.79,S
90,90,1,3,female,54.0,0,0,6.76,C
91,91,0,1,male,50.0,1,2,8.82,S
92,92,0,3,male,49.0,0,0,5.34,S
93,93,0,2,male,39.0,0,0,4.67,S
94,94,1,3,female,59.0,0,0,24.93,C
95,95,1,2,female,53.0,0,0,32.24,S
96,96,1,2,female,28.0,0,0,26.46,Q
97,97,1,1,female,56.0,0,0,131.28,Q
98,98,1,2,female,8.0,0,0,27.88,S
